id,name,description,price,stock,created_at,updated_at,is_featured,categories
d8ec9bba-15d3-4748-a8d4-7450f5d6d592,Toy Kitchen Set,Encourages creativity and problem-solving.,247.83,328,2025-10-02 08:12:00,2025-09-28 13:08:00,True,Trading Cards
3cc5b540-2a20-4e3b-a1e6-d4d19b9f6590,Hot Wheels Track,High-quality and durable.,249.01,233,2025-12-11 13:37:00,2025-01-10 16:56:00,True,"Dolls, Vehicles"
858257fe-2471-4e1a-9b13-6be9edb1deec,Play-Doh Set,Encourages creativity and problem-solving.,124.75,69,2025-08-19 00:07:00,2025-09-12 15:49:00,False,"Board Games, Racing, Trading Cards"
3d045768-54a5-4caf-930b-299fef7282b4,Fisher-Price Toy,Designed for hours of entertainment.,266.40,28,2025-09-08 14:03:00,2025-12-18 07:10:00,True,"Racing, Dolls"
ab6a196a-3ceb-4af6-96ac-0eae6bde1f41,Pokemon Card Set,Easy to assemble and store.,201.62,93,2025-06-07 19:40:00,2025-09-18 11:53:00,False,"Family Games, Trading Cards, Board Games"
9a83a072-b050-495c-8114-bc162ac3b93d,Transformers Figure,Great gift for children of all ages.,242.55,431,2025-01-16 23:09:00,2025-07-04 10:49:00,True,"Dolls, Trading Cards"
74bd0ba3-0488-4f5f-acda-b35ffa8c3c2e,Robot Toy,Easy to assemble and store.,292.08,316,2025-08-24 08:52:00,2025-03-04 23:26:00,False,"Blasters, Vehicles"
82ac979d-9180-4cba-a2e1-3153eddbd922,Puzzle Game,Safe and non-toxic materials.,28.46,433,2025-12-26 09:00:00,2025-10-13 17:37:00,False,Dolls
5c199fad-79f6-4121-9282-c87d112ac1a0,Wooden Train Set,Easy to assemble and store.,147.36,304,2025-03-01 01:46:00,2025-02-04 10:48:00,False,Trading Cards
af75c5cb-8d86-45ef-962b-409cb1b7264c,Barbie Dollhouse,High-quality and durable.,26.24,345,2025-05-04 07:36:00,2025-12-06 10:23:00,False,"Collectibles, Baby Toys, Trading Cards"
94e39156-13e7-44ac-8a08-6527b253aa01,Plush Teddy Bear,High-quality and durable.,153.24,121,2025-10-27 17:04:00,2025-07-05 10:48:00,False,"Educational, Family Games, Dolls"
c993362e-b869-4c74-90dd-d566443186d8,Science Experiment Kit,Designed for hours of entertainment.,30.27,358,2025-07-18 05:16:00,2025-02-16 01:11:00,True,"Vehicles, Collectibles"
e39638fa-5605-4a5e-a444-9d1e5835a5c7,Monopoly Board Game,A fun and engaging toy for kids.,231.15,193,2025-07-06 01:19:00,2025-01-07 09:34:00,True,Blasters
6ed3c123-8d27-40b7-b284-42a6d57c46d9,Superhero Action Figure,Perfect for imaginative play.,95.99,469,2025-09-12 10:58:00,2025-01-13 21:03:00,True,"Building Sets, Playsets"
e835e73f-9d73-40e3-bc24-ad5cd614374b,Hot Wheels Track,Encourages creativity and problem-solving.,126.62,330,2025-12-07 12:12:00,2025-06-02 14:28:00,False,Blasters
1be2cde1-087b-401a-890b-0638e1d50f28,NERF Blaster,Designed for hours of entertainment.,112.50,175,2025-10-01 17:12:00,2025-05-22 04:31:00,True,"Racing, Dolls"
2e8fb50f-1667-4d78-b0b0-4cb2ee23039f,Toy Kitchen Set,High-quality and durable.,288.35,448,2025-08-14 08:18:00,2025-12-18 18:04:00,True,Playsets
6d672ae4-47b4-44c2-a793-683c9bba4458,Robot Toy,Designed for hours of entertainment.,277.89,62,2025-06-25 09:50:00,2025-04-17 13:10:00,False,"Trading Cards, Building Sets, Vehicles"
ba0f3183-a7f0-4886-a044-4efa937c48d7,Barbie Dollhouse,Includes various accessories for extended fun.,160.88,207,2025-08-19 18:38:00,2025-04-23 18:40:00,True,"Baby Toys, Building Sets, Vehicles"
b78301e5-f9f1-4656-8be2-2ed71af8139f,Monopoly Board Game,Great gift for children of all ages.,87.45,367,2025-06-01 17:59:00,2025-06-14 06:17:00,False,"Action Figures, Arts & Crafts, Baby Toys"
c8763af0-daf1-4d0f-8770-7658afed54aa,Puzzle Game,Includes various accessories for extended fun.,131.81,138,2025-12-24 17:53:00,2025-04-16 10:50:00,True,Racing
101ae49c-4f4c-4437-9e27-f9f3d13a09c5,Monopoly Board Game,Perfect for imaginative play.,55.83,59,2025-07-24 09:13:00,2025-01-21 10:06:00,False,"Playsets, Building Sets, Vehicles"
b28db5b0-2140-422b-ab51-84c3255fe10b,Robot Toy,A fun and engaging toy for kids.,83.42,305,2025-03-12 03:13:00,2025-05-14 14:57:00,False,"Dolls, Arts & Crafts, Baby Toys"
da5d7f76-7d6d-4fa8-9fc9-66a668e15d40,Fisher-Price Toy,Great gift for children of all ages.,41.34,407,2025-09-08 09:46:00,2025-11-05 02:46:00,False,Baby Toys
